comparison,n_significant_pathways,top_pathway,top_pathway_adj_pvalue
GSE176078_DE_Luminal_epithelial_TNBC_vs_ER+,18,E2F Targets,6.739013953421778e-13
GSE176078_DE_Epithelial_ambiguous_TNBC_vs_ER+,14,Estrogen Response Early,7.405430178991809e-07
GSE176078_DE_B_cells_TNBC_vs_HER2+,12,TNF-alpha Signaling via NF-kB,2.4013943819820577e-12
GSE176078_DE_B_cells_TNBC_vs_ER+,10,TNF-alpha Signaling via NF-kB,1.6929216029802255e-10
GSE176078_DE_CD8_T_cells_TNBC_vs_ER+,9,Inflammatory Response,0.01645826673809223
GSE176078_DE_Cycling_epithelial_TNBC_vs_ER+,4,Estrogen Response Early,0.0012788255772317432
GSE176078_DE_Cycling_epithelial_TNBC_vs_HER2+,4,Epithelial Mesenchymal Transition,0.010066617070156346
GSE176078_DE_PVL_TNBC_vs_HER2+,3,TNF-alpha Signaling via NF-kB,0.0007336641287097115
GSE176078_DE_CD8_T_cells_TNBC_vs_HER2+,2,Interferon Alpha Response,0.002868795863057858
GSE176078_DE_Luminal_epithelial_HER2+_vs_ER+,2,Estrogen Response Early,5.426551020453061e-08
GSE176078_DE_T_cells_TNBC_vs_ER+,1,TNF-alpha Signaling via NF-kB,0.042462252245576475
GSE176078_DE_CAFs_TNBC_vs_ER+,1,Epithelial Mesenchymal Transition,0.0037915418065411145
GSE176078_DE_Memory_T_cells_TNBC_vs_HER2+,1,Interferon Alpha Response,0.005176388815969223
GSE176078_DE_Cycling_epithelial_HER2+_vs_ER+,1,Pperoxisome,0.002772377227091501
GSE114725_DE_Macrophages_tumor_vs_normal,0,Complement,0.08208675824959717
GSE176078_DE_Epithelial_ambiguous_HER2+_vs_ER+,0,UV Response Dn,0.15504939657724254
GSE176078_DE_Epithelial_ambiguous_TNBC_vs_HER2+,0,Estrogen Response Late,0.1294223553292056
GSE176078_DE_Luminal_epithelial_TNBC_vs_HER2+,0,Apical Junction,0.16740400135398448
GSE176078_DE_NK_cells_TNBC_vs_HER2+,0,Apical Surface,0.19560308840478025
GSE176078_DE_Macrophages_TNBC_vs_ER+,0,Estrogen Response Early,0.10310463429364987
GSE176078_DE_PVL_TNBC_vs_ER+,0,Myogenesis,0.24561416557894217
GSE176078_DE_T_cells_HER2+_vs_ER+,0,Epithelial Mesenchymal Transition,0.07848444619598083
