,B cells,CD8/Effector T cells,Macrophages,Mast cells,Monocytes/DC,NK/Cytotoxic T cells,T cells,pDC
B cells,0.0,0.0015337022846762137,0.009037908222064493,0.0,0.0,0.001059942094934174,0.004851283518858969,0.1368105947215854
CD8/Effector T cells,0.0015337022846762137,0.0,0.0037568963286132746,0.007670374219678246,0.020629790981818854,0.16566545512361272,0.12838575312408915,0.0027484271261032788
Macrophages,0.009037908222064493,0.0037568963286132746,0.0,0.004634366198918644,0.057393849917527266,0.0001393412600283512,0.003590424370545004,0.10350906207052864
Mast cells,0.0,0.007670374219678246,0.004634366198918644,0.0,0.007634440585070991,0.0022241949036644233,0.01396619549370059,0.0
Monocytes/DC,0.0,0.020629790981818854,0.057393849917527266,0.007634440585070991,0.0,0.0153029565795296,0.010262096210180519,0.0
NK/Cytotoxic T cells,0.001059942094934174,0.16566545512361272,0.0001393412600283512,0.0022241949036644233,0.0153029565795296,0.0,0.0074471410819868826,0.002922213517048471
T cells,0.004851283518858969,0.12838575312408915,0.003590424370545004,0.01396619549370059,0.010262096210180519,0.0074471410819868826,0.0,0.008551085197960866
pDC,0.1368105947215854,0.0027484271261032788,0.10350906207052864,0.0,0.0,0.002922213517048471,0.008551085197960866,0.0
