,Antigen-presenting macrophages,Complement-high macrophages,LAM-like macrophages,Lipid-laden/Foam-cell macrophages,Monocyte-like macrophages,Non-classical monocytes (CD16+),Resting/Resident macrophages
Antigen-presenting macrophages,0.0,0.07992204479795428,0.15120145635095802,0.015233602589645158,0.1552066448618173,0.014588350590377445,0.008299323720918532
Complement-high macrophages,0.07992204479795428,0.0,0.23350441780320855,0.2721287568897313,0.08565496365144375,0.005031326176566066,0.2244093767156281
LAM-like macrophages,0.15120145635095802,0.23350441780320855,0.0,0.3068344780137226,0.051620695566164686,0.06392898291366955,0.17281914734866297
Lipid-laden/Foam-cell macrophages,0.015233602589645158,0.2721287568897313,0.3068344780137226,0.0,0.1516777940659421,0.006020881766511404,0.024178478869683107
Monocyte-like macrophages,0.1552066448618173,0.08565496365144375,0.051620695566164686,0.1516777940659421,0.0,0.15202148867666626,0.03934575161292697
Non-classical monocytes (CD16+),0.014588350590377445,0.005031326176566066,0.06392898291366955,0.006020881766511404,0.15202148867666626,0.0,0.0010505217603439044
Resting/Resident macrophages,0.008299323720918532,0.2244093767156281,0.17281914734866297,0.024178478869683107,0.03934575161292697,0.0010505217603439044,0.0
