,Activated CD8 T cells,Cycling CD8 T cells,Effector CD8 T cells,NK-like CD8 T cells,Naive/Memory CD8 T cells
Activated CD8 T cells,0.0,0.2267610410392438,0.3862532415224308,0.37019836811312223,0.45194081331485936
Cycling CD8 T cells,0.2267610410392438,0.0,0.9902153691733943,0.42995271867612295,0.46226726817853847
Effector CD8 T cells,0.3862532415224308,0.9902153691733943,0.0,0.2790961922109463,0.6574264907030583
NK-like CD8 T cells,0.37019836811312223,0.42995271867612295,0.2790961922109463,0.0,0.19909018228333863
Naive/Memory CD8 T cells,0.45194081331485936,0.46226726817853847,0.6574264907030583,0.19909018228333863,0.0
