,Activated T cells,Mast cells,NK/Cytotoxic T cells,Naive/Memory T cells,Resting T cells,nan
Activated T cells,0.0,0.21596801660161152,0.0,0.24922302230636742,0.24968239557445066,0.07478404664422326
Mast cells,0.21596801660161152,0.0,0.0024821379630072544,0.29296243318290377,0.7398792673421432,0.053047958075866916
NK/Cytotoxic T cells,0.0,0.0024821379630072544,0.0,0.0001998666473643523,6.103795582084521e-05,0.1681495144276159
Naive/Memory T cells,0.24922302230636742,0.29296243318290377,0.0001998666473643523,0.0,0.18767917947985105,0.1826140036809164
Resting T cells,0.24968239557445066,0.7398792673421432,6.103795582084521e-05,0.18767917947985105,0.0,0.06238001388918104
nan,0.07478404664422326,0.053047958075866916,0.1681495144276159,0.1826140036809164,0.06238001388918104,0.0
