group,names,scores,logfoldchanges,pvals,pvals_adj
0,PRSS36,-1.0029798,9.114429,0.3158706027616862,0.7547684653803733
0,ST7L,-0.8009558,7.35392,0.42315724811281774,0.92365595859958
0,RP1-34B20.21,-0.8385279,7.1564026,0.4017342712132441,0.8967282839581342
0,SIGLEC5,-1.0811015,6.9523287,0.27965192849305254,0.696517879185685
0,LRG1,-1.0319242,6.9173675,0.3021076005755502,0.7339972286306341
0,RBFA,-0.61378,6.8381124,0.5393607174988597,0.9988940178037506
0,GPATCH1,-0.627392,6.742785,0.5304023319733078,0.9988940178037506
0,JMJD4,-0.4766896,6.7396283,0.6335831672004397,0.9988940178037506
0,ACTR5,-0.7256756,6.440463,0.46803765908148987,0.970026236438321
0,MKI67,-1.0331432,6.41891,0.30153688552852,0.7339972286306341
1,IL1RL1,-0.9705611,11.509602,0.33176688262450926,0.999670709820547
1,HES6,-1.0087246,9.681772,0.313106760770107,0.9929200148855959
1,PIGO,-0.6671351,7.4881315,0.5046858116025971,0.999670709820547
1,PDGFRB,-1.0220258,7.2306614,0.30676865714379975,0.984580491173838
1,PDGFD,-0.9757385,6.9252334,0.3291940435650039,0.999670709820547
1,RBM43,-0.25656414,6.418549,0.7975152608520724,0.999670709820547
1,ADGRG3,-0.98758245,6.2694545,0.3233571796239071,0.999670709820547
1,MZB1,-0.92250794,6.1311846,0.3562636888197015,0.999670709820547
1,DNASE1,-0.23422314,6.1141515,0.8148117545752637,0.999670709820547
1,HDC,-0.9501737,5.849519,0.34202402463102155,0.999670709820547
2,GSDMB,-0.2663951,8.637217,0.7899349446793111,0.9998869702045643
2,WNT10A,-0.54179066,8.346662,0.5879627200118511,0.9873429387268701
2,TBC1D31,0.14451633,8.3401985,0.8850927646007118,0.9998869702045643
2,ZNF574,0.39387375,7.3849735,0.6936742518453435,0.9998869702045643
2,ZNF14,-0.2922144,6.862249,0.7701227181860237,0.9998869702045643
2,C1ORF186,-0.47220707,6.291868,0.6367789858303626,0.9998869702045643
2,TNFSF14,1.1392643,5.642337,0.2545929094678564,0.5422639179294066
2,KIR3DL1,-0.73727196,5.306226,0.46095697523428836,0.8391222188864279
2,PIDD1,0.24614099,5.0654907,0.8055730932434567,0.9998869702045643
2,ALMS1,0.7795396,4.8193154,0.4356619127946677,0.8097805070532856
3,NAIF1,-0.54976994,8.507805,0.5824771752499214,0.9997158770501587
3,ANKRD26,-0.58409935,8.35225,0.5591534506601361,0.9997158770501587
3,B9D2,-0.8317939,8.254696,0.4055252973764971,0.9997158770501587
3,PHLDA2,-0.9862028,6.5241537,0.3240336140066207,0.9997158770501587
3,PPP1R3B,-0.71194756,6.5027175,0.4764972547647368,0.9997158770501587
3,LACTB2,-0.9315297,6.286347,0.3515796219702255,0.9997158770501587
3,CTCF,-1.0126228,6.28361,0.31124037428108076,0.9997158770501587
3,ABHD11,-0.81528056,5.882061,0.41491171982381236,0.9997158770501587
3,ACP6,-0.31924477,5.6444483,0.7495409004843554,0.9997158770501587
3,SDPR,-0.90532154,5.577406,0.3652950766347587,0.9997158770501587
4,WNT10A,-0.85284585,11.450395,0.39374478794899737,0.9997449251533583
4,CEP152,-0.8702118,11.151326,0.3841846880579409,0.9997449251533583
4,CCL22,-1.270155,8.762328,0.20402943966054854,0.8621991420695687
4,SLC22A18,-0.6747004,8.720735,0.499866149330507,0.9997449251533583
4,AP1S3,-0.74607515,7.857467,0.4556220089121088,0.9997449251533583
4,ZFAT,-0.76899624,6.6804647,0.4418955393868562,0.9997449251533583
4,MYO1D,-0.84031934,6.655903,0.40072937952656573,0.9997449251533583
4,PPP1R3B,-0.7396436,6.518054,0.4595163078611876,0.9997449251533583
4,LDOC1,-0.25484225,6.266943,0.7988449342871777,0.9997449251533583
4,ALMS1,-0.37504452,6.145829,0.7076273570032945,0.9997449251533583
5,SHMT1,-0.46295908,10.722189,0.6433936872446724,0.9997653320176266
5,SPINK2,-0.583058,7.9174275,0.5598542751843505,0.9997653320176266
5,TSPAN2,-0.75644267,7.458055,0.4493838473896923,0.9997653320176266
5,TPSAB1,-0.96987045,7.4069433,0.33211108029349723,0.9997653320176266
5,WDR75,-0.37368685,7.1080008,0.708637311792625,0.9997653320176266
5,ICA1,-0.94966996,7.051793,0.3422799917417453,0.9997653320176266
5,AC104820.2,-0.76847273,7.0451446,0.44220639641423587,0.9997653320176266
5,MYO1D,-0.8249433,6.8830442,0.4094037801426338,0.9997653320176266
5,CYB5D2,-0.36844137,6.3714776,0.7125441610520363,0.9997653320176266
5,DSC2,-1.0831295,6.3099394,0.27875093695955533,0.9997653320176266
6,FAM30A,-0.63265944,9.151066,0.5269560624968119,0.999856909337791
6,CYB5D2,-0.23711717,7.268724,0.8125658926957425,0.999856909337791
6,GMPPB,-0.107573934,7.0053945,0.9143336767936063,0.999856909337791
6,TMEM209,-0.059943985,6.4069686,0.9522002485479694,0.999856909337791
6,JMJD4,-0.24126422,6.349033,0.8093503381192564,0.999856909337791
6,C5AR2,-0.8793383,6.2492886,0.3792178555489897,0.999856909337791
6,SLC25A29,-0.65950614,6.225193,0.5095707976195172,0.999856909337791
6,OBSCN,-0.21612886,5.9886904,0.8288873042359105,0.999856909337791
6,FSCN1,-0.5417241,5.832297,0.5880085924132611,0.999856909337791
6,EIF3J-AS1,-0.12523189,5.7435865,0.900339974342376,0.999856909337791
7,CDCA4,-0.45335808,13.4818535,0.6502909069749806,0.9998674535488392
7,MLC1,-0.36284953,12.831861,0.716717289688289,0.9998674535488392
7,THBS1,-0.5385277,11.26694,0.5902127588326856,0.9998674535488392
7,FCGBP,-0.42716444,11.175018,0.6692595641866874,0.9998674535488392
7,METTL4,-0.40985194,9.966755,0.6819145692932165,0.9998674535488392
7,MICA,-0.19745813,9.873315,0.8434690461233056,0.9998674535488392
7,BEX5,-0.43329817,9.728726,0.6647981586276592,0.9998674535488392
7,PTGDS,-0.4297406,9.609132,0.6673843403049,0.9998674535488392
7,KDELC2,-0.54913914,9.605644,0.5829099771062309,0.9998674535488392
7,CDK5R1,-0.12804455,9.282369,0.8981137210474767,0.9998674535488392
8,ANKZF1,0.2328323,13.560829,0.8158916356300336,0.9998759321057367
8,CRACR2A,0.04055567,9.905924,0.9676501232236063,0.9998759321057367
8,PPP2R2B,-0.4104174,9.635326,0.6814997719965725,0.9998759321057367
8,FOLR2,-0.35055432,9.538415,0.725922732618731,0.9998759321057367
8,METRN,0.05198175,9.413899,0.9585432332043357,0.9998759321057367
8,CHIC2,0.037336327,9.038995,0.9702168397238413,0.9998759321057367
8,TREM1,-0.12033954,9.030058,0.9042141815472681,0.9998759321057367
8,CD160,-0.29391056,8.994929,0.7688262452989163,0.9998759321057367
8,PDP2,-0.23121686,8.85016,0.8171463308982958,0.9998759321057367
8,PHC2,0.9633498,8.850077,0.33537198945029767,0.9998759321057367
9,B3GALT4,-0.15944469,11.039965,0.8733185363653208,0.9998109772168849
9,HLA-DRB1,0.52467406,10.770083,0.5998097788684726,0.9998109772168849
9,CHI3L2,-0.08600168,10.482982,0.9314650836380967,0.9998109772168849
9,CD40,-0.0077286586,9.862281,0.9938334840533625,0.9998109772168849
9,ALDOC,0.04125782,9.813259,0.9670903588715261,0.9998109772168849
9,B4GALT4,-0.14085887,9.704985,0.887981433197279,0.9998109772168849
9,KIR2DL1,-0.13603525,9.672541,0.8917934188337109,0.9998109772168849
9,FAM104B,-0.36406738,9.653336,0.715807691863138,0.9998109772168849
9,MED11,-0.120753504,9.36047,0.9038862772153079,0.9998109772168849
9,LHPP,-0.06603039,9.184628,0.9473536307339915,0.9998109772168849
10,EIF3J-AS1,-0.07597028,14.964452,0.9394427472386072,0.9999430763933297
10,PLXDC1,-0.054241188,11.9658785,0.9567430071571674,0.9999430763933297
10,CEP290,0.16158547,10.399297,0.8716323039875069,0.9999430763933297
10,RPS6KB1,0.18962333,10.375136,0.8496043061729053,0.9999430763933297
10,HMGXB4,0.13148884,10.184648,0.8953886118608999,0.9999430763933297
10,ZNF862,-0.2561695,10.071123,0.7978199505646523,0.9999430763933297
10,RBM19,-0.07489333,9.957826,0.9402995814482152,0.9999430763933297
10,D2HGDH,-0.22818941,9.914157,0.8194990001259355,0.9999430763933297
10,NT5C3B,-0.22239701,9.842358,0.824004833969321,0.9999430763933297
10,DNASE1,-0.16056627,9.809294,0.8724350171257361,0.9999430763933297
