cell_id,0
13980,NKT
13567,Unclear
13578,Unclear
13676,Cytotoxic CD8 (mislabeled)
13681,True NK
13923,Cytotoxic CD8 (mislabeled)
13973,Cytotoxic CD8 (mislabeled)
13573,True NK
13583,Cytotoxic CD8 (mislabeled)
13591,NKT
13593,True NK
13597,Unclear
13600,Cytotoxic CD8 (mislabeled)
13602,Unclear
13627,Unclear
13630,True NK
13631,NKT
13633,Unclear
13636,Cytotoxic CD8 (mislabeled)
13638,True NK
13645,Unclear
13646,NKT
13656,True NK
13657,True NK
13660,True NK
13664,True NK
13667,Cytotoxic CD8 (mislabeled)
13672,Cytotoxic CD8 (mislabeled)
13688,Cytotoxic CD8 (mislabeled)
13690,True NK
13706,True NK
13711,True NK
13714,True NK
13717,NKT
13725,True NK
13728,Unclear
13738,NKT
13740,True NK
13757,True NK
13760,NKT
13786,True NK
13798,Unclear
13803,True NK
13838,NKT
13839,Cytotoxic CD8 (mislabeled)
13842,Cytotoxic CD8 (mislabeled)
13843,Cytotoxic CD8 (mislabeled)
13852,Unclear
13858,Cytotoxic CD8 (mislabeled)
13859,True NK
13874,Unclear
13883,Unclear
13885,NKT
13901,True NK
13909,True NK
13914,Unclear
13915,NKT
13919,Cytotoxic CD8 (mislabeled)
13931,NKT
13938,True NK
13939,Unclear
13959,True NK
13981,True NK
13984,Cytotoxic CD8 (mislabeled)
13987,Cytotoxic CD8 (mislabeled)
13846,Unclear
13997,True NK
13999,True NK
14009,True NK
14011,Unclear
14014,True NK
14019,True NK
14020,Unclear
14034,True NK
14037,True NK
14053,True NK
14055,Unclear
14057,Unclear
14060,Unclear
14068,True NK
14081,Unclear
14083,True NK
14085,Unclear
14086,Cytotoxic CD8 (mislabeled)
14091,Unclear
14098,True NK
14101,Cytotoxic CD8 (mislabeled)
14102,Unclear
14108,Unclear
14110,True NK
14113,Cytotoxic CD8 (mislabeled)
14129,True NK
14136,True NK
14138,Cytotoxic CD8 (mislabeled)
14147,Cytotoxic CD8 (mislabeled)
14150,Unclear
14155,True NK
14166,True NK
14209,Unclear
14214,True NK
14215,True NK
14217,Unclear
14218,Cytotoxic CD8 (mislabeled)
14222,Unclear
14224,True NK
14230,Unclear
14234,Unclear
14259,Unclear
14260,True NK
14261,True NK
14271,True NK
14283,True NK
14284,Unclear
14294,True NK
14306,True NK
14312,Unclear
14315,Cytotoxic CD8 (mislabeled)
14316,True NK
14320,Unclear
14327,True NK
14332,True NK
14341,Unclear
14347,Unclear
14354,True NK
14362,Cytotoxic CD8 (mislabeled)
14371,Unclear
14372,Cytotoxic CD8 (mislabeled)
14379,Unclear
14384,Unclear
14385,Cytotoxic CD8 (mislabeled)
14387,Unclear
14392,True NK
14416,True NK
14417,True NK
14420,True NK
14116,Cytotoxic CD8 (mislabeled)
14122,True NK
14208,Unclear
14236,Cytotoxic CD8 (mislabeled)
14304,Unclear
14313,Cytotoxic CD8 (mislabeled)
14344,Unclear
14365,Unclear
14398,Unclear
14000,True NK
13996,Cytotoxic CD8 (mislabeled)
14001,Unclear
14005,Unclear
14017,Unclear
14022,True NK
14024,Unclear
14026,True NK
14031,Unclear
14036,Cytotoxic CD8 (mislabeled)
14042,Unclear
14059,Unclear
14064,Unclear
14067,Unclear
14071,Unclear
14076,Cytotoxic CD8 (mislabeled)
14079,Cytotoxic CD8 (mislabeled)
14080,NKT
14103,NKT
14112,Unclear
14124,Cytotoxic CD8 (mislabeled)
14130,Cytotoxic CD8 (mislabeled)
14142,Cytotoxic CD8 (mislabeled)
14151,True NK
14153,Cytotoxic CD8 (mislabeled)
14157,Cytotoxic CD8 (mislabeled)
14159,Unclear
14173,True NK
14175,Cytotoxic CD8 (mislabeled)
14178,NKT
14179,True NK
14180,Unclear
14188,Unclear
14192,Unclear
14195,True NK
14213,True NK
14220,Unclear
14238,Unclear
14240,True NK
14245,True NK
14254,Cytotoxic CD8 (mislabeled)
14256,NKT
14282,Unclear
14301,Unclear
14309,Cytotoxic CD8 (mislabeled)
14350,Unclear
14368,NKT
14389,True NK
14408,True NK
14414,True NK
14900,NKT
14424,Unclear
14431,True NK
14434,Unclear
14438,True NK
14443,Unclear
14446,Unclear
14449,Unclear
14450,Unclear
14461,Unclear
14475,True NK
14487,Unclear
14498,Unclear
14499,True NK
14503,True NK
14514,Unclear
14525,Cytotoxic CD8 (mislabeled)
14531,True NK
14533,True NK
14536,Unclear
14543,True NK
14545,True NK
14547,True NK
14549,True NK
14552,NKT
14554,True NK
14560,True NK
14564,True NK
14571,NKT
14572,NKT
14577,Unclear
14588,True NK
14596,Unclear
14601,Unclear
14613,Unclear
14614,Cytotoxic CD8 (mislabeled)
14621,True NK
14629,True NK
14634,True NK
14636,Unclear
14641,Unclear
14649,Cytotoxic CD8 (mislabeled)
14653,Unclear
14668,True NK
14673,True NK
14679,True NK
14688,True NK
14691,Cytotoxic CD8 (mislabeled)
14695,Unclear
14707,Unclear
14711,True NK
14713,True NK
14715,Unclear
14716,Unclear
14720,True NK
14721,True NK
14729,True NK
14737,Unclear
14740,True NK
14744,Cytotoxic CD8 (mislabeled)
14749,True NK
14751,True NK
14756,Unclear
14758,True NK
14761,True NK
14783,Unclear
14785,Unclear
14786,True NK
14802,True NK
14808,Unclear
14812,True NK
14815,Unclear
