subtype,B cells,Basal epithelial,CAFs,CD8 T cells,Cycling T cells,Cycling epithelial,Endothelial cells,Epithelial (ambiguous),Luminal epithelial,Macrophages,Memory T cells,NK cells,PVL,Plasma cells,T cells,"Unassigned (n=28, doublet/mixed-identity artefact)",pDC
ER+,1.168335717691941,2.053528850739151,7.060681926561754,6.154625655698617,0.24141630901287556,0.9537434430138292,14.9052217453505,3.3351216022889845,36.14985693848355,4.589890319504054,5.69861707200763,2.095255126371006,9.59108249880782,1.2160228898426324,4.515379113018598,0.0,0.2712207916070577
HER2+,3.0603354389021997,1.143541712045306,7.340448703986059,18.405576127205403,0.5445436724025267,1.2796776301459378,5.282073622304509,3.588542801132651,8.56022653016772,7.062731431060771,20.453060335438902,5.815726421258985,4.9390111086909165,0.653452406883032,11.500762361141364,0.0,0.37028969723371813
TNBC,4.636918170543421,0.44040598344680965,6.965501531296667,13.847477789870663,2.0501657850110098,5.616441823382014,2.7057126224404566,7.960211597357564,13.624743729276872,14.88015388898732,8.71700118960237,3.3207623579437593,2.2982105343086383,5.282340732491331,7.1882355918904555,0.07086992837075097,0.39484674377989826
