Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
age_group[T.Younger],B cells,0.0,-0.308,0.24,0.101,0.5,128.73780541135974,0.0
age_group[T.Younger],Basal epithelial,0.0,-0.255,0.337,0.113,0.5033333333333333,76.53727061764185,0.0
age_group[T.Younger],CAFs,0.0,-0.143,0.477,0.126,0.5376666666666666,266.0748924736304,0.0
age_group[T.Younger],CD8 T cells,0.0,-0.361,0.2,0.1,0.4789333333333333,355.58980017518155,0.0
age_group[T.Younger],Cycling T cells,0.0,-0.349,0.256,0.104,0.4792,102.38884998448091,0.0
age_group[T.Younger],Cycling epithelial,0.0,-0.309,0.255,0.099,0.5025333333333334,145.8790450531004,0.0
age_group[T.Younger],Endothelial cells,0.0,-0.241,0.304,0.094,0.4513333333333333,285.93880511799154,0.0
age_group[T.Younger],Epithelial (ambiguous),0.0,-0.296,0.312,0.107,0.513,148.97489768005067,0.0
age_group[T.Younger],Luminal epithelial,0.0,-0.439,0.158,0.129,0.508,404.1466551175502,0.0
age_group[T.Younger],Macrophages,0.0,-0.363,0.168,0.097,0.5071333333333333,377.2008558855733,0.0
age_group[T.Younger],Memory T cells,0.0,-0.383,0.18,0.112,0.5331333333333333,313.8068972452729,0.0
age_group[T.Younger],NK cells,0.0,-0.316,0.231,0.099,0.4746666666666667,197.70535569237808,0.0
age_group[T.Younger],PVL,0.0,0.0,0.0,0.0,0.0,230.390989459087,0.0
age_group[T.Younger],Plasma cells,0.0,-0.264,0.378,0.117,0.4966,95.27598829713818,0.0
age_group[T.Younger],T cells,0.0,-0.324,0.197,0.099,0.5016666666666667,257.9531088620149,0.0
age_group[T.Younger],"Unassigned (n=28, doublet/mixed-identity artefact)",0.0,-0.301,0.315,0.11,0.5216,50.59120868555784,0.0
age_group[T.Younger],pDC,0.0,-0.261,0.307,0.099,0.47173333333333334,80.4614203958368,0.0
