leiden_0.2,score_Pan-T (anchor),score_CD8 T,score_NK (vs CD8),score_Cytotoxic (shared),score_B cell,score_Plasma (catch),score_Macrophage (vs mono),score_Monocyte/DC (vs mac),score_pDC (specific),score_Mast,score_Stromal (contam flag),score_Proliferation (flag)
0,-0.3829490078682773,-0.4755825868545522,-0.27242630795414774,-0.5213372187104766,-0.07175456888094202,-0.3940229691197244,-0.13765708659201595,-0.08606732741712288,-0.07630954950743873,-0.047287673815893924,-0.06597279334031846,-0.02028229861105414
1,-0.2358954513341382,0.45776086192236926,0.01271107058653927,0.11992499226362799,-0.08402355181178338,-0.33181903658844114,-0.14105621163537624,-0.09612120453833845,-0.02940456465051581,-0.0478193095677561,-0.05209996426902094,-0.008664112683547208
2,-0.613059099325973,-0.1688280084286213,-0.010449107473525189,0.18074835099352432,-0.11265059405395085,-0.07024644798940785,-0.13784980746065634,-0.016202546766152362,-0.04748474608860659,0.2780186043685742,1.3820502722470887,-0.05764986448460602
3,-0.5914640427685384,-0.194883643993676,0.7263380446262084,2.3397676322570944,-0.08853638030500127,-0.20323624742759075,-0.1735474110238973,-0.10565459606149821,0.2686190658032616,-0.059574399177867034,-0.041158646799756615,-0.014017001751624137
4,-1.158427016046501,-0.614968041750667,-0.2747647489750633,-0.587852191776789,1.2676112843680531,-0.422110424267735,-0.12294060679492629,-0.09390239732069822,0.11360642504472696,-0.05250559943505726,-0.07950893995206301,-0.020826349154865163
5,-1.208814114651085,-0.7395116721796665,-0.08924170389041754,-0.6967923225547601,-0.19248354035992535,-0.4619508159545615,0.946361419813916,0.6353793850593495,-0.02766370332656295,-0.0823358760840755,-0.07640992556074115,0.0011358695575261308
6,-1.289478643511204,-0.7954124561207745,-0.34763174378617323,0.013660283887639959,-0.14650869394281033,0.2290491070603648,0.006828139094596215,-0.073074619280684,1.9000103251781868,-0.05791687070562484,-0.07879816574087906,0.2024421244098785
7,-0.8048989655247637,-0.4746880168293072,0.20036487189234425,-0.41605931364726223,-0.1335464176352932,-0.37089299580955687,-0.08154377701776162,1.1913510971185517,-0.0633746829391522,-0.015582645472045728,-0.10563403694222044,-0.10735545565933682
8,-1.239862897048595,-0.7077892174110116,-0.3331390633009529,-0.6219439774450021,-0.2273259186602266,-0.31290847894794704,-0.13172351513716535,-0.08336547010933246,-0.11929586761055688,3.8612129954114134,0.024732551953537952,0.17646597162432034
