excluded_patient,n_tumor,n_normal,FN1_log2FC,FN1_padj,FN1_significant,HSPA1A_log2FC,HSPA1A_padj,HSPA1A_significant,HSPA1B_log2FC,HSPA1B_padj,HSPA1B_significant
BC1,3,2,3.0759213098383786,0.07773216226009255,False,3.652899633897606,0.6497712333441311,False,3.3641064826987224,0.6669032129072818,False
BC2,3,2,3.0759213098383786,0.07773216226009255,False,3.652899633897606,0.6497712333441311,False,3.3641064826987224,0.6669032129072818,False
BC4,3,2,3.0759213098383786,0.07773216226009255,False,3.652899633897606,0.6497712333441311,False,3.3641064826987224,0.6669032129072818,False
BC5,2,2,3.60393058138032,0.00010075767148468042,True,0.894968794107567,0.7673636727561477,False,0.8843763312838259,0.755442399592834,False
BC6,2,2,1.850034341070067,0.9998014926677761,False,4.158852988441034,0.7309693841437355,False,3.8537436072165487,0.7240932689602019,False
BC8,2,2,3.2714554724702127,0.9411531286587536,False,4.17311393160656,0.39282074416753116,False,3.8627949773282024,0.0016791272340358078,True
