source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
T cells,NK cells,B2M,KLRD1,3.5792341,0.0,9.630335,1.7979524479434124,1.8250532766992564,0.043369655,0.97128963,0.010112583662367922,4.761312775778446e-09
CD8 T cells,NK cells,B2M,KLRD1,3.5529885,0.0,9.53607,1.7738948403434003,1.8027445261904549,0.04294514,0.9711521,0.011012582044358907,1.9044959059620693e-08
Plasma cells,NK cells,B2M,KLRD1,3.5451427,0.0,9.50789,1.7667076962524,1.7950512188315222,0.04281823,0.97111064,0.011150789931065965,4.285050078628711e-08
NK cells,NK cells,B2M,KLRD1,3.5084968,0.0,9.376271,1.7331269055921807,1.691006779476306,0.042225495,0.9709145,0.01698901247077876,7.617749989053805e-08
Memory T cells,NK cells,B2M,KLRD1,3.4477434,0.0,9.158069,1.6774568992506382,1.6139566642833874,0.04124283,0.97058016,0.02436566362019885,1.190255183071339e-07
Cycling T cells,NK cells,B2M,KLRD1,3.3918986,0.0,8.957495,1.6262804039023766,1.5460741806912814,0.04033956,0.97026235,0.03253308211891489,2.3328286081640173e-07
Endothelial cells,NK cells,B2M,KLRD1,3.3768072,0.0,8.903291,1.6124494407857994,1.5657509463673729,0.040095456,0.9701747,0.029698717073128083,3.0469130877859437e-07
pDC,NK cells,B2M,KLRD1,3.3559012,0.0,8.828204,1.5932934034778345,1.469458697989647,0.039757308,0.9700519,0.041862095466756295,3.8561902379217347e-07
Macrophages,NK cells,B2M,KLRD1,3.3047671,0.0,8.644549,1.5464358198499861,1.4460163751673232,0.038930226,0.969745,0.045442754908313884,6.855133904888324e-07
B cells,NK cells,B2M,KLRD1,3.2714348,0.0,8.524833,1.5158920941951226,1.350234999875529,0.03839109,0.96953976,0.048040162336014304,1.218615708845915e-06
PVL,NK cells,B2M,KLRD1,3.2500706,0.0,8.4481,1.4963127524046964,1.4211520511762799,0.038045533,0.96940595,0.04975086481542716,1.5422631954622306e-06
CD8 T cells,CD8 T cells,HLA-B,CD8A,3.210515,0.0,9.109149,1.3108670014317767,2.208052513249235,0.037088413,0.97050357,0.05550613899045802,2.0990949782160295e-06
Endothelial cells,pDC,APP,CD74,3.357899,0.0,8.1233635,1.4332679865196833,1.784056044612798,0.020211352,0.9688193,0.047356551660241546,2.5178847578436505e-06
T cells,CD8 T cells,HLA-B,CD8A,3.1235008,0.0,8.740928,1.2500329781185084,2.0642833295567673,0.03558918,0.9699072,0.06486167869479503,2.741548910799268e-06
CD8 T cells,CD8 T cells,HLA-B,CD3D,3.115394,0.0,8.290126,1.0339584717927288,1.5265001769230138,0.020056922,0.9691248,0.0740260257334967,3.217413552667921e-06
