source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
B cells,Cycling T cells,HLA-E,CD8B,1.3187972,0.0,0.85088205,0.7069690504073161,0.7332573206466898,0.019307585,0.9067949,0.05552975125771883,0.09677355350297251
CD8 T cells,Cycling T cells,LGALS1,CD69,1.2259109,0.0,1.3969755,0.433311161395752,0.2182701503609661,0.005212522,0.92573917,1.0,0.09682052111817069
Macrophages,pDC,HLA-DMB,CD4,1.2257526,0.0,1.4733112,2.7237717772086842,2.043003429481157,0.116897196,0.92754734,0.0008227581074972967,0.09691448761622047
CAFs,B cells,CD99,CD81,1.2763494,0.0,0.8497334,0.5141186059945613,0.7515233874643904,0.008318206,0.9067378,0.48050759547134875,0.09696148649762881
Epithelial (ambiguous),Basal epithelial,SEMA3E,NRP1,0.11247651,0.969,0.010268882,-0.008713976723761306,-0.08781028300879401,0.016541472,0.51662785,1.0,0.09697460317505463
Basal epithelial,Macrophages,TIMP3,CD44,1.2252162,0.0,1.4707285,0.48686641091210303,0.4267855573023285,0.0132684205,0.9274883,0.15981243541630827,0.09700849579966389
Basal epithelial,Basal epithelial,GSTP1,EGFR,1.2251489,0.0,0.9602696,1.082549377087811,0.7673421186016889,0.0392166,0.9117815,0.05552975125771883,0.09705551552160412
Epithelial (ambiguous),CD8 T cells,PKM,CD44,1.224884,0.0,1.4906929,0.4671766795300263,0.635763641167937,0.008237207,0.9279404,0.49527301016294767,0.09710254566272779
Memory T cells,Macrophages,HLA-A,LILRB2,1.4531918,0.0,0.8491637,1.224631375872784,0.6033213449547079,0.047519226,0.9067094,0.05552975125771883,0.09710254566272779
CAFs,Luminal epithelial,VCAN,ITGB1,1.2247267,0.0,0.9308018,1.0377414802487763,1.079128933812836,0.026176054,0.91051996,0.05552975125771883,0.0971495862223133
Cycling epithelial,pDC,EFNA5,EPHA2,0.10834036,0.0,0.010269073,0.26406883709357165,0.13679234009063607,0.0238939,0.5166301,0.35660094155845146,0.0972137907629036
CAFs,CAFs,LGALS3,ENG,1.2243706,0.0,0.9638277,0.4433277241706126,0.39691331063050383,0.019656837,0.9119301,0.06856764557621366,0.09729077040462439
CAFs,Epithelial (ambiguous),FN1,PLAUR,1.3177344,0.0,0.84822947,1.0977049069599365,1.9366208570289385,0.046851665,0.9066628,0.03853655496783107,0.09729077040462439
CAFs,Cycling T cells,COL1A2,ITGA1_ITGB1,1.913145,0.0,0.8479662,1.5304012102480926,2.7969659093911146,0.07909638,0.90664965,0.004667151057033951,0.0973378526308408
Epithelial (ambiguous),Endothelial cells,LGALS3,MCAM,1.2242409,0.0,0.9455794,0.6101812592972992,0.6448313624807009,0.028530557,0.9111595,0.05552975125771883,0.0973849452719108
pDC,Luminal epithelial,IL16,CD9,1.2241158,0.0,0.8795239,1.045169672590168,1.0512137730887376,0.03411332,0.9081845,0.05552975125771883,0.09743204832711277
Cycling epithelial,Luminal epithelial,LAMA5,ITGA3_ITGB1,0.10136254,0.926,0.010271825,-0.03487642677960781,-0.0681173503367622,0.008399857,0.5166636,1.0,0.09745295701282677
Macrophages,Macrophages,S100A9,CD68,1.2238524,0.0,0.9528149,2.065688081519925,2.527211370019502,0.13685282,0.91146755,0.0003811534139430268,0.09747916179572508
CD8 T cells,Epithelial (ambiguous),HLA-A,ERBB2,1.5988424,0.0,0.84747976,0.3856745108442811,0.4527526947432642,0.014890697,0.9066254,0.11378360828874046,0.09747916179572508
T cells,Luminal epithelial,VIM,CD44,1.223636,1.0,1.3111299,-0.07883473247236883,-0.7812676978426981,0.002756178,0.92352957,1.0,0.09752628567702606
Macrophages,PVL,GRN,TNFRSF1A,1.2235142,0.0,1.1846573,0.8489639396576222,1.121408482738647,0.026137413,0.9198699,0.05552975125771883,0.09757341997029406
T cells,PVL,LGALS1,ITGB1,1.2233815,0.0,1.3441502,0.29681730708189535,0.3139956075615652,0.0052604657,0.92440325,1.0,0.0976205646748075
B cells,Cycling T cells,CD22,PTPRC,1.2232858,0.0,0.8938051,2.731467528925178,1.5277611726828257,0.13840052,0.9088539,0.0018317635758162436,0.09766771978984465
pDC,Cycling epithelial,LGALS8,ITGA3,0.10243919,0.992,0.0102754235,-0.1269090306362836,-0.16436522285055127,0.004011095,0.51670736,1.0,0.09769211012547152
PVL,Epithelial (ambiguous),APP,CD74,1.223277,0.988,1.3594245,-0.043120334911339875,-1.0219940689728424,0.0036547764,0.9247971,1.0,0.09771488531468395
Cycling T cells,Luminal epithelial,CCL5,SDC4,1.2231779,0.0,1.429016,0.9282288069637554,1.6125431760262312,0.035064787,0.92651486,0.05552975125771883,0.09780924759088222
T cells,Cycling T cells,HLA-E,CD8A,1.223017,0.0,0.9598676,0.6321265302142154,0.7279620169434233,0.01685923,0.9117647,0.077927745117973,0.09790365149762918
Cycling epithelial,Memory T cells,CD59,CD2,1.2229705,0.0,1.4289713,0.6350390000930604,0.637644907317417,0.013128888,0.9265138,0.16432621775325898,0.09795086906065434
T cells,Cycling epithelial,VIM,CD44,1.2225543,1.0,1.3075495,-0.0800754551323842,-0.8095776660145491,0.0027486514,0.92343295,1.0,0.09799809702915169
pDC,Endothelial cells,TGFB1,ENG,1.2224293,0.0,0.848435,1.0798366525162582,1.6195554464781883,0.041424822,0.90667313,0.05552975125771883,0.09804533540239971
Memory T cells,pDC,VIM,CD44,1.3518159,0.814,0.84490705,-0.14215571643155372,-0.7324759285191649,0.0017761122,0.9064966,1.0,0.09804533540239971
Epithelial (ambiguous),Cycling epithelial,LAMB3,ITGA6_ITGB4,0.10515757,0.974,0.010281679,0.045090004625475244,-0.10410772346670694,0.0043485044,0.5167833,1.0,0.09805082336109046
Epithelial (ambiguous),Cycling epithelial,LAMB3,ITGA6_ITGB1,0.10515757,0.974,0.010281679,0.045090004625475244,-0.10410772346670694,0.0043485044,0.5167833,1.0,0.09805082336109046
NK cells,Endothelial cells,CALM3,AQP1,1.2403824,0.0,0.8440934,0.8847691333478103,1.7058299265538244,0.031345412,0.90645576,0.05552975125771883,0.09823440589752322
CAFs,Cycling T cells,COL1A1,ITGA1_ITGB1,1.9048284,0.0,0.84403753,1.48471417041614,3.056782356254375,0.07279235,0.90645295,0.006800780002173927,0.09828169628655221
PVL,Macrophages,HLA-A,LILRB2,1.4446667,0.0,0.8435451,1.2183917827561794,0.5524586260355979,0.04720481,0.9064282,0.05552975125771883,0.09832899707600173
Epithelial (ambiguous),Luminal epithelial,LAMC1,ITGA6_ITGB4,0.102989785,1.0,0.010286395,-0.1095216892483199,-0.19060404571711467,0.0035465728,0.5168406,1.0,0.09840949884092728
Endothelial cells,CAFs,TFPI,LRP1,1.2218258,0.0,1.3732299,1.7685836693116204,1.8928578763884754,0.19531836,0.9251477,0.00029946214116054876,0.0984236298532758
