source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Luminal epithelial,Epithelial (ambiguous),TIMP3,CD44,0.28243142,1.0,0.053988986,-0.4317634567363117,-1.267972932124667,0.00065106817,0.73116845,1.0,0.9800191113894859
Endothelial cells,T cells,PTDSS1,JMJD6,0.27816343,0.041,0.070189804,0.029967560986980828,0.00023111985415852354,0.0044076904,0.75616544,1.0,0.9800191113894859
Cycling epithelial,Cycling epithelial,FADD,TRAF2,0.1478307,0.0,0.021119788,0.2862070257772817,0.10473081700198973,0.013621615,0.62978023,0.4227819003004037,0.9800821573570335
CAFs,PVL,TGFB1,ACVR1_TGFBR2,0.30408043,0.0,0.05397694,0.15294428247965813,0.0022980676142116546,0.009757964,0.7311466,0.8151092031803201,0.9801183492530087
Endothelial cells,CAFs,COL6A2,CD44,0.49794686,1.0,0.24696861,-0.2132147471784266,-0.9095660611840598,0.0029865196,0.85330975,1.0,0.9801183492530087
Endothelial cells,Endothelial cells,JAG1,NOTCH4,0.56479096,0.0,0.31526184,1.5145441665271253,1.3031134836163196,0.101431765,0.8679405,0.0038403218144930913,0.9801663386224556
PVL,Cycling epithelial,COL6A3,CD44,0.5010185,1.0,0.24696943,-0.08972872943493954,-0.5038670565674711,0.0052646757,0.85331,1.0,0.9802175938155986
CD8 T cells,Luminal epithelial,ARPC5,ADRB2,0.28736606,1.0,0.053961553,-0.08104090196282815,-0.13664618951243862,0.00307633,0.73111856,1.0,0.9802175938155986
Plasma cells,CAFs,GNAI2,ADCY7,0.1713667,0.966,0.021120254,-0.07462014133738283,-0.1704070581111509,0.0028146324,0.62978286,1.0,0.980242921740831
Basal epithelial,Macrophages,CD99,PILRA,0.5647135,0.997,0.25732875,0.8804690662837835,-0.16670447681100709,0.01521076,0.855863,1.0,0.9802651501293167
Basal epithelial,Cycling T cells,CXCL10,SDC4,0.2781288,0.0,0.06641031,0.301485528911337,0.7795314561851513,0.012158189,0.75102663,0.29677615903820764,0.9803168450774817
PVL,T cells,SPON2,ITGB1,0.5140936,0.0,0.24704601,0.1270083803159113,0.10218057541059994,0.006699792,0.85332936,0.9659764189678076,0.9803168450774817
Luminal epithelial,Epithelial (ambiguous),WNT7B,TMED5,0.2050368,0.001,0.021123722,0.3582663156091157,-0.006910896653970551,0.022149324,0.6298019,0.9157183770188153,0.9804037291007268
Macrophages,Macrophages,LPL,LRP1,0.2921917,0.0,0.05394694,0.6547336298525828,0.3850776647104231,0.07038999,0.7310919,0.05607897500705125,0.9804161030388852
pDC,CAFs,SEMA4A,PLXNB2,0.27809986,0.0,0.07538346,0.5374902785102117,0.3958471020689861,0.01720418,0.76268613,0.0611543599994857,0.9804161030388852
Endothelial cells,CAFs,ADAM10,TSPAN5,0.2780757,0.0,0.06531897,0.2281253711096468,0.21128352601608427,0.009527491,0.7494742,0.4947688367306275,0.9805153677000341
T cells,T cells,HLA-DQA1,CD4,0.50757915,0.0,0.2471424,0.31053504794766024,0.10120003547707207,0.008586059,0.8533538,0.43470009153752087,0.9805153677000341
CAFs,CAFs,COL11A1,ITGA11_ITGB1,0.5646168,0.0,0.30147097,1.8256841550042116,1.5569787578054526,0.6665459,0.86535585,0.0010795110090582615,0.9805617250740348
CAFs,Endothelial cells,THBS3,ITGA3_ITGB1,0.14539854,0.0,0.02112417,0.6330841735016233,0.32122893755408066,0.047234204,0.62980443,0.09046340237016662,0.9805644764213416
Macrophages,Endothelial cells,HSPA4,TLR4,0.29450428,0.0,0.053934816,0.2792781002894369,0.042725618568550644,0.016330097,0.7310698,0.6348523865729786,0.9806146390611549
